date, pm25, pm10, o3, no2, so2, co
2020/6/1, 29, 16, 31, 8, 1, 4
2020/6/2, 37, 37, 28, 13, 1, 4
2020/6/3, 51, 29, 35, 14, , 5
2020/6/4, 54, 16, 25, 15, 1, 5
2020/6/5, 34, 10, 25, 9, 1, 4
2020/6/6, 26, 18, 32, 9, 1, 4
2020/6/7, 53, 17, 20, 8, 1, 4
2020/6/8, 61, 17, 19, 5, , 5
2020/6/9, 60, 22, 25, 13, , 6
2020/6/10, 79, 15, 32, 7, 1, 4
2020/6/11, 65, 24, 31, 12, 1, 5
2020/6/12, 71, 23, 37, 7, 1, 5
2020/6/13, 65, 16, 22, 4, 1, 3
2020/6/14, 54, 16, 29, 11, 1, 4
2020/6/15, 47, 19, 26, 12, 1, 5
2020/6/16, 58, 18, 24, 10, , 5
2020/6/17, 67, 21, 35, 10, , 5
2020/6/18, 74, 15, 27, 8, , 5
2020/6/19, 66, 10, 19, 5, , 3
2020/6/20, 44, 10, 17, 4, , 3
2020/6/21, 46, 10, 21, 7, , 4
2020/6/22, 48, 13, 30, 6, , 3
2020/6/23, 33, 20, 19, 9, , 4
2020/6/24, 56, 22, 30, 12, , 4
2020/6/25, 62, 20, 29, 13, , 5
2020/6/26, 56, 12, 18, 9, , 4
2020/6/27, 52, , , , , 
2020/5/1, 68, 13, 33, 6, , 5
2020/5/2, 49, 12, 32, 4, 1, 4
2020/5/3, 50, 36, 36, 11, 1, 6
2020/5/4, 75, 23, 33, 10, , 5
2020/5/5, 48, 16, 25, 9, 1, 5
2020/5/6, 67, 23, 31, 9, 1, 5
2020/5/7, 59, 32, 42, 14, 1, 6
2020/5/8, 78, 23, 58, 16, , 7
2020/5/9, 64, 20, 44, 12, , 6
2020/5/10, 57, 31, 39, 16, , 6
2020/5/11, 44, 18, 28, 8, , 5
2020/5/12, 26, 35, 23, 12, , 5
2020/5/13, 50, 17, 26, 11, , 4
2020/5/14, 51, 27, 25, 13, , 6
2020/5/15, 90, 24, 38, 12, , 4
2020/5/16, 75, 21, 38, 11, , 4
2020/5/17, 71, 24, 37, 16, , 5
2020/5/18, 59, 25, 40, 15, , 4
2020/5/19, 59, 20, 33, 8, , 3
2020/5/20, 25, 17, 32, 9, , 3
2020/5/21, 27, 17, 33, 11, , 4
2020/5/22, 33, 22, 39, 15, , 3
2020/5/23, 46, 13, 28, 5, , 2
2020/5/24, 29, 14, 18, 8, , 4
2020/5/25, 41, 18, 22, 10, , 5
2020/5/26, 48, 21, 24, 11, 1, 4
2020/5/27, 61, 24, 34, 9, 1, 4
2020/5/28, 61, 19, 26, 8, , 3
2020/5/29, 35, 16, 22, 6, 1, 3
2020/5/30, 37, , 21, , , 4
2020/5/31, 18, 19, 31, 9, , 5
2020/4/1, 120, 32, 41, 13, 2, 7
2020/4/2, 106, 27, 34, 12, 2, 6
2020/4/3, 93, 27, 39, 9, 2, 5
2020/4/4, 88, 33, 43, 8, 1, 5
2020/4/5, 92, 37, 44, 21, 1, 6
2020/4/6, 80, 44, 42, 23, 1, 7
2020/4/7, 96, 41, 44, 23, 1, 7
2020/4/8, 95, 33, 48, 16, 1, 6
2020/4/9, 94, 20, 37, 8, 1, 4
2020/4/10, 50, 29, 44, 8, 1, 5
2020/4/11, 83, 21, 45, 10, 1, 5
2020/4/12, 58, 17, 42, 7, 1, 4
2020/4/13, 64, 17, 31, 5, 1, 3
2020/4/14, 35, 25, 35, 7, 2, 4
2020/4/15, 66, 22, 43, 10, 1, 5
2020/4/16, 61, 27, 38, 15, 1, 5
2020/4/17, 63, 20, 43, 9, 1, 4
2020/4/18, 51, 15, 39, 5, 1, 4
2020/4/19, 41, 18, 37, 10, 1, 5
2020/4/20, 50, 27, 38, 11, , 5
2020/4/21, 69, 27, 42, 14, , 5
2020/4/22, 61, 27, 44, 19, , 6
2020/4/23, 63, 27, 46, 15, 1, 6
2020/4/24, 75, 23, 36, 7, 1, 4
2020/4/25, 62, 17, 37, 9, 1, 4
2020/4/26, 44, 30, 42, 19, 1, 6
2020/4/27, 64, 34, 42, 22, , 7
2020/4/28, 65, 29, 40, 13, , 6
2020/4/29, 71, 27, 41, 10, 1, 5
2020/4/30, 86, 17, 24, 8, , 5
2020/3/1, 58, 22, 22, 21, 2, 8
2020/3/2, 61, 17, 12, 20, 2, 9
2020/3/3, 63, 24, 21, 17, 3, 6
2020/3/4, 69, 47, 33, 24, 2, 9
2020/3/5, 106, 37, 20, 28, 3, 9
2020/3/6, 84, 23, 18, 15, 2, 6
2020/3/7, 57, 31, 24, 16, 2, 7
2020/3/8, 78, 53, 30, 24, 1, 10
2020/3/9, 102, 46, 25, 20, 3, 9
2020/3/10, 14, 12, 25, 11, 1, 5
2020/3/11, 49, 20, 27, 14, 1, 6
2020/3/12, 51, 15, 27, 11, 1, 4
2020/3/13, 39, 13, 33, 7, 1, 3
2020/3/14, 37, 21, 35, 9, 1, 4
2020/3/15, 66, 32, 29, 16, 2, 6
2020/3/16, 88, 46, 32, 19, 4, 8
2020/3/17, 115, 57, 35, 21, 3, 9
2020/3/18, 127, 43, 38, 17, 1, 9
2020/3/19, 119, 37, 23, 14, 1, 5
2020/3/20, 100, 12, 27, 3, 1, 3
2020/3/21, 48, 13, 29, 3, 1, 3
2020/3/22, 40, 21, 34, 6, 1, 4
2020/3/23, 62, 24, 35, 7, 1, 4
2020/3/24, 66, 31, 38, 9, 1, 4
2020/3/25, 76, 32, 37, 12, 2, 5
2020/3/26, 88, 40, 43, 14, 2, 5
2020/3/27, 105, 49, 45, 19, 2, 6
2020/3/28, 130, 42, 37, 8, 4, 6
2020/3/29, 138, 14, 29, 8, 1, 4
2020/3/30, 47, 31, 28, 11, 2, 6
2020/3/31, 115, 38, 35, 10, 3, 6
2020/2/1, 41, 16, 27, 14, 3, 5
2020/2/2, 28, 9, 19, 8, 2, 6
2020/2/3, 46, 10, 21, 16, 2, 7
2020/2/4, 34, 14, 26, 12, 2, 5
2020/2/5, 30, 28, 13, 14, 4, 6
2020/2/6, 86, 24, 23, 18, 3, 6
2020/2/7, 62, 46, 18, 24, 3, 9
2020/2/8, 113, 58, 1, 26, 1, 17
2020/2/9, 187, 16, , 18, , 
2020/2/24, 66, 16, 21, 19, 2, 8
2020/2/25, 54, 15, 25, 18, 2, 6
2020/2/26, 43, 16, 24, 17, 2, 6
2020/2/27, 52, 22, 21, 17, 2, 7
2020/2/28, 78, 23, 28, 19, 1, 6
2020/2/29, 56, 22, 27, 22, 2, 7
2020/1/2, 141, 43, 10, 21, 5, 18
2020/1/3, 186, 60, 24, 23, 3, 4
2020/1/5, 66, 10, 15, 10, 2, 8
2020/1/6, 129, 48, 9, 14, 4, 10
2020/1/7, 137, 43, 14, 21, 5, 9
2020/1/8, 127, 37, 4, 18, 2, 10
2020/1/9, 106, 31, 7, 18, 6, 10
2020/1/10, 141, 42, 13, 18, 3, 6
2020/1/11, 75, 20, 15, 11, 3, 8
2020/1/12, 80, 22, 12, 14, 3, 9
2020/1/13, 94, 32, 2, 18, 2, 15
2020/1/14, 165, 60, 4, 20, 5, 16
2020/1/15, 159, 62, 2, 24, 4, 16
2020/1/16, 161, 54, 3, 22, 1, 15
2020/1/17, 149, 50, 5, 20, 7, 13
2020/1/18, 150, 45, 9, 17, 3, 10
2020/1/19, 122, 35, 14, 14, 2, 7
2020/1/20, 86, 25, 20, 16, 4, 7
2020/1/21, 91, 28, 14, 13, 5, 7
2020/1/22, 92, 26, 16, 13, 3, 9
2020/1/23, 92, 27, 13, 20, 6, 13
2020/1/24, 147, 48, 14, 20, 6, 9
2020/1/25, 125, 36, 10, 14, 7, 11
2020/1/26, 153, 48, 7, 15, 8, 15
2020/1/27, 160, 53, 10, 21, 4, 19
2020/1/28, 142, 50, 26, 28, 3, 6
2020/1/29, 42, 11, 24, 10, 3, 6
2020/1/30, 48, 11, 21, 12, 3, 7
2020/1/31, 45, 12, 22, 16, 3, 7
2019/10/1, 46, 29, 15, 22, 2, 8
2019/10/2, 78, 16, 18, 13, 1, 6
2019/10/3, 74, 23, 15, 16, 1, 7
2019/10/4, 94, 14, 19, 11, , 7
2019/10/5, 73, 14, 21, 11, , 6
